observed_at,market,model_id,model,price,currency,reference_new_price
2026-09-14T17:35:46Z,ES,iphone-16e,iPhone 16e,440.00,EUR,709.00
2026-09-14T17:35:46Z,ES,iphone-17,iPhone 17,779.00,EUR,1109.00
2026-09-14T17:35:46Z,ES,iphone-17-pro,iPhone 17 Pro,1003.00,EUR,1319.00
2026-09-16T10:17:45Z,ES,iphone-13,iPhone 13,235.00,EUR,739.00
2026-09-16T10:17:45Z,ES,iphone-13-mini,iPhone 13 mini,245.00,EUR,809.00
2026-09-16T10:17:45Z,ES,iphone-14,iPhone 14,300.00,EUR,739.00
2026-09-16T10:17:45Z,ES,iphone-14-pro,iPhone 14 Pro,439.00,EUR,1449.00
2026-09-16T10:17:45Z,ES,iphone-15,iPhone 15,419.00,EUR,859.00
2026-09-16T10:17:45Z,ES,iphone-15-plus,iPhone 15 Plus,440.00,EUR,959.00
2026-09-16T10:17:45Z,ES,iphone-15-pro,iPhone 15 Pro,580.00,EUR,1219.00
2026-09-16T10:17:45Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,684.00,EUR,1469.00
2026-09-16T10:17:45Z,ES,iphone-16,iPhone 16,589.00,EUR,1009.00
2026-09-16T10:17:45Z,ES,iphone-16-plus,iPhone 16 Plus,590.00,EUR,959.00
2026-09-16T10:17:45Z,ES,iphone-16-pro,iPhone 16 Pro,713.00,EUR,1219.00
2026-09-16T10:17:45Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,829.00,EUR,1469.00
2026-09-16T10:17:45Z,ES,iphone-16e,iPhone 16e,449.00,EUR,709.00
2026-09-16T10:17:45Z,ES,iphone-17,iPhone 17,730.00,EUR,1109.00
2026-09-16T10:17:45Z,ES,iphone-17-pro,iPhone 17 Pro,1003.00,EUR,1319.00
